FoodLicID,COMMENTS,LOCATIONCOMMENTS,LicenseFK,LicenseID
13,ALCOHOLIC BEVERAGES TO BE SERVED WITH BRUNCH ON SUNDAYS BEGINNING AT 11:00 AM.  CAPACITY BREAKDOWN: 1ST FL - 133 SEATED  107 STANDING; LOWER LEVEL - 38 SEATED  12 STANDING; SEASONAL PATIO - 18.,UNNUMBERED ENTRANCE ON BELGRADE AVENUE AND ADDITIONAL ENTRANCE/EXITS ON CENTRE STREET IN 3 ROOMS AND KITCHEN ON 1ST FLOOR; IN 1 ROOM AND KITCHEN ON 1ST FLOOR; IN 1 ROOM & KITCHEN  PREP AREA & RESTROOMS IN BASEMENT W/ 2 EXITS AT REAR AND TO INCLUDE A SEASONAL OUTDOOR PATIO FROM APRIL - OCTOBER FOR 18,7082,LB-98979
14,1.) ALCOHOL TO BE SERVED ONLY TO PATRONS DINING IN THE PREMISES.  2.) NO ALCOHOL TO BE SERVED TO PATRONS WAITING FOR TAKE-OUT.  3.) WAIT SERVICE TO BE PROVIDED AT TABLES  4.) NO BAR,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.,7083,LB-99666
15,(1)NO BAR. (2) ALCOHOLIC BEVERAGES TO BE SERVEDWITH FOOD ONLY.,IN ONE ROOM ON GROUND FLOOR; KITCHEN AND STORAGE IN THE REAR.,7084,LB-99863
16,,Side and rear emergency exits; bulkhead entrance to cellar for stock - in one room and kitchen first floor; cellar for stock.,7085,LB-99153
17,,In two rooms  kitchen and stockroom on the first floor,7086,LB-98921
18,,In one room with an outdoor cafe on the first floor; kitchen and storage room in the rear.  MANAGEMENT AGREEMENT APPROVED BY BLB AND ABCC BETWEEN 222 BERKELEY RESTAURANT LLC AND GOOD ESSEN-222 BERKELEY  LLC. CAPACITY CEVICHE BAT 7 STOOLS  MAIN BAR 15 STOOLS  TABLE & CHAIRS 175  OUTSIDE COURTYARD 56,7087,LB-99202
19,PATIO CONDITIONS: 1.) MIDNIGHT CLOSING HOUR 2.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 3.) MUST BE STAFFED AT ALL TIMES.,REAR ENTRANCE FROM YARD FOR STOCK; IN ONE ROOM ON FIRST FLOOR; CELLAR FOR STOCK AND TO INCLUDE AN OUTDOOR SEASONAL PATIO IN THE REAR OF BUILDING FROM APRIL THROUGH OCTOBER FOR 60 PATRONS ON PRIVATE PROPERTY BETWEEN THE HOURS OF 11:00 A.M. - MIDNIGHT.,7088,LB-99043
20,1.) ALCOHOL SERVICE ONLY WITH FOOD IN DINING AREA. 2.) 8 SEAT BAR AREA TO HAVE NO MORE THAN 12 PEOPLE AROUND IT AT ONE TIME. 3.) PUBLIC NOT TO BE ADMITTED TO BAR AREA AFTER 11:30 PM AND SERVICE OF ALCOHOL TO CEASE AT 12:30 AM. 4.) ALL OPEN CONTAINERS OF ALCOHOL MUST BE REMOVED FROM BAR AREA BY 1:00 AM 5.) ROOFDECK MUST BE CLOSED FOR ALL PURPOSES AT 10:00 PM 6.) ANYTIME FOOD AND/OR ALCOHOL SERVED ON DECK  DECK MUST BE STAFFED. A.) 11:00 A.M. OPENING ON SUNDAYS FOR THE SERVICE OF ALCOHOLIC BEVERAGES WITH BRUNCH.,BOUTIQUE HOTEL INCLUDING THIRTEEN (13) GUEST ROOMS  ROOM SERVICE AND RESTAURANT ON FIVE (5) FLOORS. BASEMENT FOR KITCHEN AND STORAGE. FIRST FLOOR RESTAURANT WITH DINING SEATS FOR EIGHTY (80) PATRONS AND BAR SEATING FOR EIGHT (8). SECOND FLOOR GUEST ROOMS AND OUTDOOR TERRACE WITH LOUNGE SEATING. THIR,7089,LB-101659
21,The board granted permission to provide bottle service.,Rear entrance from privateway to first floor for stock; two rooms first floor; three rooms second floor for office space; cellar for stock; CAPACITY BREAKDOWN: RESTAURANT-335 PERSONS(BAR STOOLS 1ST FLR-32 PERSONS TABLES & CHAIRS 1ST FLR -45 PERSONS STANDING 1ST FLR -53 PERSONS BAR STOOLS 2ND FLR 2,7090,LB-99251
22,1. NO BAR 2. ALCOHOL TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,There is one room on the first floor  including a dining area with fifty-six seats. There is a kitchen and one room in the basement for storage.,7091,LB-163200
23,NONE,IN ONE ROOM AND KITCHEN ON THE FIRST FLOOR.,7092,LB-99714
24,NONE,In one floor  with dining room in two rooms  kitchen in one room  office in one room  and storage. Seasonal (April-October) outdoor patio on private property accessible by two private entrances/exits with midnight closing hour.,7093,LB-99055
25,123 Persons total.  1st Floor 58 Persons Seated.  25 Persons Standing. 2nd floor 40 Persons seated.,In one room for dining on the first floor  kitchen  small bar area and storage in the rear.  In one room for dining on the second floor  and to include an outdoor seasonal patio from April-October for 25 patrons on private property between the hours of 5:00 p.m.-11:00 p.m. With a 1:00 a.m closing ho,7094,LB-99343
26,NONE,FIRST FLOOR ONE ROOM AND BAR; BASEMENT FOR KITCHEN  STORAGE AND OFFICES; ENTRANCE AND EXITS ON CONGRESS STREET AND REAR ALLEY. CAPACITY BREAKDOWN: DRINK - 112 PATRONS; SPORTELLO - 49 PATRONS; MENTON - 140 PATRONS.,7095,LB-99497
27,NONE,Bulkhead entrance to cellar for stock; in one room on first floor; and cellar for stock.,7096,LB-98982
28,1. No bar on premises 2. 1:00 A.M. closing for wines and malt  3. 4:00 A.M. closing for foods service,34 Oxford St. and 60 Beach St; In two rooms and kitchen on the first floor; basement for storage.,7097,LB-99589
29,,IN TWO ROOMS ON GROUND FLOOR WITH OPEN KITCHEN IN REAR; MAIN ENTRANCE ON WEST BROADWAY  AND ALSO TO INCLUDE IN ONE ROOM IN BASEMENT WITH EMERGENCY EXIT AND STORAGE IN REAR.,7098,LB-99049
30,NONE,IN THREE ROOMS ON GROUND FLOOR WITH KITCHEN IN BACK RIGHT  MAIN ENTRANCE OFF WEST BROADWAY AND EMERGENCY EXITS AT REAR OF RESTAURANT; BAR SEATING ON LEFT UPON ENTRANCE  LIVE MUSIC AREA TOWARD REAR AND TWO PRIVATE DINING ROOM AREAS LOCATED BACK LEFT AND BACK RIGHT OF RESTAURANT; BASEMENT TO INCLUDE,7099,LB-99447
31,THE BOARD GRANTED THE PETITION FOR PERMISSION TO PROVIDE BOTTLE SERVICE ON THE LICENSED PREMISES.,Consisting of two floors with entrance at front;  lower level consists of one room containing dining room  bar  restrooms  storage  refridgeration area and kitchen in rear.  upper level consists of one room containing dining room  dining bar and bar;,7100,LB-99022
32,THE BOARDPERMITS BOTTLE SERVICE.,MAIN ENTRANCE AND EXIT AT 40 MELCHER STREET  WITH TWO ADDITIONAL EXITS ON NECCO COURT.  TWO ROOMS ON THE FIRST FLOOR WITH STORAGE  MAIN ENTRANCE AND EXIT ON MELCHER STREET WITH AN ADDITIONAL EXIT ON NECCO COURT.  ONE ROOM AND KITCHEN WITH OFFICE AND STORAGE ON THE STREET LEVEL WITH MAIN ENTRANCE FRO,7101,LB-98923
33,NONE,Kitchen  office and storage in basement-2 entrances and exits;  1st floor includes dining room and bar;  2 entrances and exits;  2nd floor includes dining room;  2 entrances and exits;  All entrances and exits located at North Square,7102,LB-99226
34,.,First floor of a 19-story building. Indoor Dining (+/- 6  394) including Bar Lounge with seating for thirteen (13)  Bar with seating for twenty-three (23); Jeep Willis with seating for eight (8)  Wishing Well with seating for twelve (12)  and Well Dining with seating for twenty-two (22); Ceviche Are,7103,LB-98925
35,NONE,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT  TO INCLUDE A SEASONAL OUTDOOR PATIO FROM APRIL THROUGH OCTOBER ON PRIVATE PROPERTY FOR 22 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.,7104,LB-99782
36,NONE,IN ONE ROOM ON THE FIRST FLOOR CAFE AND KITCHEN  ENTRANCE/EXIT TREMONT STREET AND WALTHAM STREET; BASEMENT FOR STORAGE.,7105,LB-99783
37,NONE,569 TREMONT ST.: IN ONE ROOM ON FIRST FLOOR WITH AN OPEN KITCHEN  ONE ROOM IN THE BASEMENT WITH A KITCHEN AND STORAGE ROOM..,7106,LB-99423
38,NONE,First floor 40 seat dining room with small bar  kitchen & bathroom. Basement with prep kitchen  storage  office and refrigeration.,7107,LB-134078
39,NONE,IN ONE ROOM ON GROUND FLOOR WITH OPEN KITCHEN ON LEFT; MAIN ENTRANCE ON EAST BROADWAY AND EMERGENCY EXIT AT REAR; BASEMENT FOR PREPARATION  STORAGE AND OFFICES.,7108,LB-99576
40,9 AM OPENING ON ALCOHOL SERVICE. TO COMMENCE ON SUNDAY AT 11:00 AM.,WITH DINING ROOM AND KITCHEN ON THE FIRST FLOOR; AND BASEMENT FOR STORAGE.,7109,LB-99538
41,1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS OR TO PATRONS WHILE WAITING FOR A TABLE.,IN ONE ROOM ON THE FIRST FLOOR  KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.  Capacity breakdown: 44 seated  14 standing.,7110,LB-99771
42,,Rear entrance on Calumet St - For stock and rear exit from 726 Huntington Avenue to alley - two rooms and kitchen first floor - cellar for stock. CAPACITY BREAKDOWN: 44 PERSONS SEATED TABLE & CHAIRS; 20 PERSONS SEATED - BAR; 50 PERSONS STANDING-BAR.,7111,LB-99105
43,NONE,LOCATED AT 108 NEWBURY STREET(ALSO KNOWN AS 224 CLARENDON STREET) BOSTON  APPROXIMATELY 1900 SQUARE FEET ON GROUND FLOOR (650 SQ FT) AND LOWER (BASEMENT) LEVEL (1250 SQ FT) OF BUILDING W/ ENTRANCE ON NEWBURY STREET  WITH EXIT TO CLARENDON STREET FROM COMMON AREA ON GROUND LEVEL AND ADDITIONAL EMERGE,7112,LB-99832
44,(1) NO ALCOHOL SERVICE AFTER 12:30 A.M.  THE RESTAURANT AND BAR SHALL CEASE ALL OPERATIONS NO LATER THAN 1:00 A.M. (2) FROM AND AFTER 12:00 A.M. ALL INGRESS AND EGRESS TO THE RESTAURANT AND BAR PREMISES SHALL BE THROUGH THE ATRIUM OR OTHER INTERIOR PASSAGE OF 10 ST. JAMES STREET AND THERE SHALL BE NO INGRESS OR EGRESS DIRECTLY TO OR FROM ARLINGTON OR STUART STREETS AND THE RESTAURANT PREMISES.(3)LOBBY AREA CONDITIONS: (a) TO BE USED ONLY FOR FUNCTIONS; (b)USED WEEKDAYS ONLY AFTER 6PM; (c) MAY BE USED WITHIN LICENSE PARAMETERS DURING THE WEEKEND BUTFOR FUNCTIONS ONLY.,"4 ROOMS  KITCHEN  STORAGE ROOM ON 1ST FLOOR; EXIT/ENTRANCEONTO ARLINGTON STREET  2 EXITS/ENTRANCES INTO LOBBY OF BUILDING: ENTRANCE/EXIT FOR TAKE OUT DELIVERY AND TO INCLUDE THE ""ENTIRE EAST AND WEST LOBBIES"".",7113,LB-99337
45,(1) MALT AND WINE TO BE SERVED WITH MEALS ONLY. (2) NO BAR.,WITH REAR SIDE EMERGENCY EXITS; IN ONE ROOM AND KITCHEN ON THE FIRST FLOOR; BASEMENT FOR STORAGE. BAR WITH 10 STOOLS.,7114,LB-99754
46,MONDAY THROUGH THURSDAY - 11:00 P.M. CLOSING HOUR  FRIDAY  SATURDAY AND SUNDAY - MIDNIGHT CLOSING HOUR,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR AND TO INCLUDE ONE ROOM IN BASEMENT USED FOR FUNCTIONS; KITCHEN AND STORAGE IN THE REAR.  Capacity breakdown: 1st fl - 325; basement - 300.,7115,LB-99638
47,1. Trash Picked up 3 times a week. 2. Discount Parking. 3. Alcohol shall be served only in conjunction with food ordered from the menu at all table seats  booths  & patio seats. Food will be available at the (14) bar stools and (12) high top seats. 4. Patio service shall end no later than Midnight.,"In whole of said building including annex referred to as ""BARCODE"" space and to include an outside patio for 80 patrons.",7116,LB-98953
48,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS FROM: 11AM TO NOON.,One room  with separate kitchen  office   storage room  & kitchen on  first floor.,7117,LB-98896
49,(1) MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. (2) NO BAR. (3) PATIO TO CLOSE AT 10:00 PM. (4)TRASH TO BE COMPACTED AND STORED INSIDE AND PUT OUT NO MORE THAN ONE HOUR BEFORE COLLECTION IN RODENT-PROOF CONTAINERS. (5)DELIVERIES TO OCCUR BETWEEN 7:00 A.M. AND 11:00 P.M. AND NOT BETWEEN THE HOURS OF 8:00 A.M. AND 10:00 A.M. NOR BETWEEN THE HOURS OF 4:00 P.M. AND 6:00 P.M. (6) ALL SIGNAGE AND EXTERIOR CHANGES TO COMPLY WITH ZONING REQUIREMENTS AND TO BE APPROVED BY THE BACK BAY ARCHITECTURAL COMMISSION.,ON ONE FLOOR; SEATING IN FRONT  KITCHEN AND STORAGE IN REAR; AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL - NOVEMBER FOR 12 PATRONS ON PRIVATE PROPERTY BETWEEN THE HOURS OF 10:00 A.M. - 10:00 P.M.,7118,LB-99836
50,2 Valet Parking if exceeds 40,In two rooms  one to be a function room and kitchen on the first floor and one large function room in basement; also basement for storage with an increase in seating capacity.  Capacity breakdown: bar/lounge - 199; function room - 50; function room - 100.,7119,LB-98998
51,na,Terminal A  Logan Airport,7120,LB-115683
52,NONE,In two levels with one room on each level;  kitchen and storage in basement.,7121,LB-99136
53,1.) CLOSING HOUR: 1:00 AM FRIDAY - SATURDAY - AND HOLIDAYS MIDNIGHT ON OTHER DAYS.  2.) NO BAR  3.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS AT TABLES.  4.) ALCOHOL SERVICE WITHOUT FOOD ALLOWED FOR WAITING PATRONS.,IN TWO DINING ROOMS WITH BAR AREA AND KITCHEN ON FIRST FLOOR; BASEMENT FOR STORAGE.,7122,LB-99053
54,1.) SUNDAY OPENING AT 11:00 A.M. FOR THE SERVICE OF ALCOHOL.,ON 2 FLOORS IN SPACE 2201 OF QUINCY MARKET BUILDING AT FANEUIL HALL MARKETPLACE; MAIN ENTRANCE OFF FOOD COURT AREA TO FIRST FLOOR  ENTRANCE OFF ROTUNDA AREA TO 2ND FLOOR W/ KITCHEN; EMERGENCY EXITS ON 1ST & 2ND FLOORS; BASEMENT FOR STORAGE AND TO INCLUDE SEASONAL OUTDOOR SEATING FOR 32 PATRONS ON PR,7123,LB-99128
55,,In two rooms on the first floor with kitchen in the rear storage in the basement.,7124,LB-99553
56,NONE,ONE ROOM ON 1ST FLOOR WITH KITCHEN IN THE REAR; STORAGE IN THE BASEMENT.  ENTRANCE/EXIT IN THE FRONT OF BUILDING.,7125,LB-99867
57,NONE,IN WHOLE OF SAID BUILDING: 273 ROOMS-HOTEL  333 PERSON-BALLROOM  150 PERSON-RESTAURANT  97 PERSON-FUNCTION ROOM-A  77 PERSON-FUNCTION ROOM-B  99,7126,LB-101654
58,NONE,Unit number BR-02 in Logan International Airport  Terminal B  including approximately 2 827 square feet including restaurant space  kitchen  restrooms and storage  with 2 entrances and 3 exits. See attached floor plan.,7127,LB-153870
59,1.) MALT WINE AND LIQUEURS TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2.) NO BAR.,IN ONE ROOM USED FOR DINING WITH KITCHEN AND STORAGE ON THE FIRST FLOOR; AND BASEMENT FOR STORAGE.,7128,LB-99756
60,NONE,IN ONE ROOM AND KITCHEN ON FIRST FLOOR  CELLAR FOR STOCK.,7129,LB-99724
61,ALCOHOLIC BEVERAGES TO BE SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,4187 4189 4191 and 4195 Washington Street - Three rooms  kitchen and storage  first floor; Cellar for stock - with entrance at 4195 Washington Street.,7130,LB-99286
62,NONE,ONE REAR ENTRANCE  PRIVATE ALLEY IN REAR; IN WHOLE OF SAID BUILDING.,7131,LB-98780
63,Open at 10:00 A.M. on Sundays for the service of food only. ONE coin-operated pool table.,ONE ROOM ON FIRST FLOOR  ENTRANCE AT FRONT  WITH BAR AND SEATING AT FRONT AND RESTAURANT SEATING AREA; LOWER LEVEL WITH BAR AND RESTAURANT SEATING  KITCHEN AT REAR.,7132,LB-99309
64,NONE,Two rooms and kitchen first floor and two rooms in basement  (one for patrons and one for stock).,7133,LB-99012
65,NONE,Unit 1A located in dedicated space on first floor of thirteen (13) floor hotel. First floor: Indoor area located in three (3) rooms consisting of Bar Area 1 (+/- 1 480 SF) with seating for eighty two (82); Dining Area (+/- 1 475 SF) with seating for ninety six (96); Bar Area 2 (+/- 600 SF) with seat,7134,LB-99757
66,1:00 A.M. for deliveries only.,IN ONE ROOM ON THE FIRST FLOOR/KITCHEN  DINING ROOM  LOUNGE AREA WITH A CUSTOMER BAR WITH 8 BAR STOOLS  64 TABLES.  ON THE BASEMENT LEVEL/TWO FUNCTION ROOMS  STORAGE  CUSTOMER BAR WITH 7 STOOLS  70 TABLES.,7135,LB-99807
67,MIDNIGHT CLOSING HOUR: SUNDAY - THURSDAY 1:00 A.M. CLOSING HOUR: FRIDAY AND SATURDAY.,SIDE AND REAR EXITS FOR EMERGENCY AND STOCK; IN TWO ROOMS AND KITCHEN ON FIRST FLOOR  CELLAR FOR STOCK.,7136,LB-99815
68,OPEN AT 6:00 A.M. FOR THE SERVICE OF FOOD ONLY,TWO ROOMS AND KITCHEN ON THE FIRST FLOOR; CELLAR FOR STOCK.,7137,LB-99031
69,NONE,IN SIX ROOMS ON SECOND FLOOR UPPER LEVEL.,7138,LB-98819
70,COMMERCIAL CLUB DESIGNATION,US AIRWAYS CLUB  CONSISTING OF APPROXIMATELY 10 901 SQUARE FEET AND INCLUDING A LARGE LOUNGE SPACE  TWO RESTROOMS  A PREP KITCHEN AND A BAR AREA.  THERE IS ONE MAIN ENTRANCE/EXIT OFF OF THE B CONCOURSE AND TWO REAR EXITS THAT LEAD TO THE BACK HALLWAY THAT IS BEHIND THE US AIRWAYS TICKET COUNTER.  20,7139,LB-99475
71,NONE,A NINETEEN AUDITORIUM MOVIE THEATRE  LOBBY AND CONCESSIONS ARE WITH STORAGE AND SERVICE ROOMS OCCUPYING APPROXIMATELY 113 000 SQUARE FEET  WITH 5 ENTRANCES AND 5 EXITS.,7140,LB-99166
72,NONE,REAR AND SIDE EXITS  ONE ROOM FIRST FLOOR  ONE ROOM IN BASEMENT  KITCHEN STREET LEVEL  SECOND FLOOR FOR FLOOR  THIRD FLOOR FOR STORAGE.,7141,LB-99727
73,NONE,IN ONE ROOM ON THE FIRST FLOOR/TAKE-OUT IN CENTER AND DINING AREA TO THE RIGHT  WITH STORAGE AND OFFICE SPACE IN BASEMENT.  ENTRANCE IN FRONT AND TWO EXITS TO THE RIGHT OF THE DINING ROOM.  ALSO ONE EXIT ON THE LEFT FROM THE KITCHEN.,7142,LB-99800
74,PATIO CONDITIONS: 1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) MUST BE STAFFED AT ALL TIMES  3.) 11:00 P.M. CLOSING,80 84 WEST BROADWAY; 61 A STREET EMERGENCY EXIT - IN THREE ROOMS  KITCHEN FIRST FLOOR  BASEMENT FOR STOCK AND TO INCLUDE (2) OUTDOOR SEASONAL PATIOS FROM MAY - OCTOBER FOR 48 PATRONS BETWEEN THE HOURS OF 11:30 A.M. - 11:00 P.M.  SIDEWALK PORTION OF PATIO IS ON DPW LAND.,7143,LB-99296
75,NONE,Rear entrance to basement from yard; in one room and kitchen on first floor; cellar for stock.,7144,LB-99000
76,1. ALCOHOLIC BEVERAGES WITH FOOD ONLY. 11:00 AM OPENING ON SUNDAYS FOR BRUNCH.,IN ONE ROOM AND KITCHEN- FIRST FLOOR  BASEMENT FOR STOCK.,7145,LB-99341
77,A.) ALCOHOL WITH FOOD ONLY B.) NO BAR,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.,7146,LB-99808
78,1. SERVICE BAR ONLY,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN REAR  STORAGE IN THE BASEMENT.,7147,LB-99740
79,NONE,IN TWO ROOMS ON FIRST FLOOR  KITCHEN AND STORAGE IN REAR.  CAPACITY BREAKDOWN: BAR - 6; FRONT - 9; DINING/LOUNGE - 30.,7148,LB-99816
80,A.) NO BAR  B.) ALCOHOL WITH FOOD ONLY,TWO ROOMS ON FIRST FLOOR  KITCHEN IN THE REAR  AND STORAGE IN CELLAR.,7149,LB-99854
81,NONE,On ground floor  dining room  with kitchen  office and storage on lower level.  CAPACITY BREAKDOWN: BASEMENT - 40; 1ST FL - 40.,7150,LB-99595
82,,In whole of building with summer patio (tent area)  refrigerated trailers in parking lot and floating barges to southeast of building for storage.  CAPACITY BREAKDOWN: 1ST FL - 568 (514 @ DINNING ROOM  54 @ RUM ROOM); 2ND FL - 508.,7151,LB-99180
83,NONE,In one large room on the first floor  with kitchen  prep & storage in back and one bar with 8 seats in the dining room in front. Entrance and exit in the rear and front.,7152,LB-134966
84,NONE,REAR ENTRANCE FOR STOCK AND EMERGENCY EXIT; IN ONE ROOM KITCHEN AND STOCKROOM ON THE FIRST FLOOR WITH A BAR FOR 8-10 PATRONS.,7153,LB-99732
85,1. MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2. NO BAR.,In one room on the first floor  kitchen and storage in the rear,7154,LB-99537
86,1.  Alcoholic beverages to be served only in conjunction with meals.  2.  11:00 P.M. closing on the patio.,In two rooms and kitchen on first floor; cellar for stock  and to include an outside patio.  Patio capacity 36.,7155,LB-98989
87,NONE,PREVIOUSLY KNOWN AS 1110 MASSACHUSETTS AVENUE @ SOUTH BAY SHOPPING CENTER - IN ONE LARGE ROOM ON THE FIRST FLOOR WITH BAR AREA  KITCHEN AND STORAGE IN THE REAR.,7156,LB-99429
88,NONE,REAR EXIT NORTH STREET; IN ONE ROOM AND KITCHEN ON FIRST FLOOR.,7157,LB-99721
89,NONE,UNNUMBERED ENTRANCE NEXT TO 411 CHELSEA STREET AND TWO EMERGENCY EXITS; IN ONE ROOM ON 1ST FLOOR OF 411 CHELSEA STREET; 2ND FLOOR OF 413 CHELSEA STREET & BASEMENT OF 411 CHELSEA STREET FOR STOCK.  411-413 CHELSEA STREET  EAST BOSTON  MA  02128,7158,LB-101578
90,,In one room and lounge on the second floor with kitchen  stock in rear. with 2:00 A.M. Restriction.  Capacity breakdown: 283 seated; 42 standing.,7159,LB-99319
91,NONE,First floor indoor restaurant  including Restaurant Dining Area (+/- 1 251 SF) with seating for eighty-seven (87) patrons and Bar Dining Area (+/- 682 SF) with seating for thirty-four (34) patrons. Kitchen in rear with back of house (+/- 1 361). Outdoor Patio Area (+/- 367 SF) with seating for twent,7160,LB-99375
92,NONE,IN ONE ROOM  KITCHEN AND STORAGE IN HALLWAY OFF TERMINAL B  3 ENTRANCES AND EXITS ONTO MAIN HALLWAY AND AN AREA WITHIN TERMINAL B OF LOGAN INT'L AIRPORT AIRSIDE ACROSS FROM GATE B16.,7161,LB-98886
93,NONE,ON FIRST FLOOR  WITH KITCHEN IN REAR  DINING AREA IN FRONT  TWO BATHROOMS AND TWO EXITS  ONE EXIT ON BENNINGTON STREET AND ANOTHER EXIT IN THE REAR OF THE BUILDING LEADING TO THE PARKING LOT.,7162,LB-99787
94,NONE,IN ONE ROOM  KITCHEN AND STORAGE ON THE SECOND FLOOR.,7163,LB-99786
95,NONE,In one large room on 1st floor  kitchen and storage on left side with one entrance on Western Avenue and exit on opposite side.,7164,LB-138942
